test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.080326,0.16,0.32,0.65,1.31,2.61,5.21,10.34,20.9,41.77,82.63,157.15,180.56,207.28,208.8,209.03,209.26,209.4,209.42,209.44,209.43,209.45,196.06
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.08441,0.17,0.34,0.67,1.36,2.76,5.46,10.97,21.94,44.97,90.2,171.41,181.49,207.99,208.77,209.2,209.22,209.38,209.39,209.44,209.41,209.45,196.63
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.079779,0.16,0.32,0.65,1.3,2.6,5.15,10.34,20.59,41.2,81.04,154.96,179.45,207.09,208.8,209.01,209.3,209.36,209.39,209.41,209.45,209.45,195.77
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.079991,0.16,0.33,0.65,1.31,2.63,5.26,10.52,21.02,41.86,82.56,160.69,179.3,206.04,208.83,209.13,209.29,209.39,209.43,209.43,209.46,209.44,196.93
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.079969,0.16,0.33,0.65,1.31,2.63,5.23,10.45,20.81,41.62,81.44,157.3,176.92,200.8,202.35,202.65,202.81,202.86,202.94,202.93,202.96,202.97,193.1
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.084263,0.17,0.35,0.69,1.39,2.79,5.56,11.05,22.1,45.67,93.61,171.58,178.65,200.53,202.38,202.63,202.83,202.85,202.92,202.94,202.95,202.95,193.15
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.080504,0.16,0.33,0.65,1.31,2.63,5.2,10.57,21.15,42.03,82.84,154.67,177.84,200.4,202.35,202.72,202.83,202.92,202.89,202.95,202.96,202.98,193.24
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.080799,0.17,0.33,0.67,1.34,2.67,5.32,10.65,20.99,41.87,82.68,155.5,178.9,200.86,202.39,202.69,202.84,202.88,202.91,202.93,202.95,202.96,193.28
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.081403,0.17,0.33,0.66,1.33,2.65,5.26,10.43,20.84,41.63,81.75,152.93,171.62,196.38,197.56,197.87,198.01,198.07,198.11,198.16,198.15,198.15,187.17
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.081661,0.17,0.34,0.67,1.33,2.68,5.33,10.72,21.03,43.2,87.66,162.8,173.35,195.88,197.51,197.69,197.93,197.99,198.04,198.06,198.07,198.07,187.92
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,2,2,avg,0.079379,0.16,0.32,0.63,1.28,2.54,5.07,10.11,20.35,40.49,80.6,157.68,172.43,195.75,197.58,197.94,198.04,198.07,198.12,198.13,198.16,198.16,188.03
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.077396,0.16,0.32,0.63,1.27,2.55,5.07,10.2,20.19,40.24,79.31,154.41,170.5,196.02,197.48,197.75,197.92,197.96,198.03,198.03,198.05,198.09,188.21
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.079367,0.16,0.32,0.65,1.3,2.59,5.2,10.32,20.66,41.14,81.04,154.99,171.79,195.83,196.96,197.23,197.38,197.42,197.48,197.49,197.51,197.52,186.14
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.084443,0.17,0.35,0.69,1.39,2.78,5.51,11.04,22.14,45.49,91.77,161.69,172.97,195.67,196.95,197.26,197.38,197.43,197.49,197.5,197.51,197.52,186.4
ib_read_bw,9000,4,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.080123,0.16,0.32,0.66,0.9,1.8,3.59,7.21,14.4,28.74,57.51,115.45,169.57,195.84,196.97,197.14,197.39,197.43,197.47,197.5,197.5,197.52,185.93
