test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.089238,0.18,0.37,0.74,1.47,2.94,5.87,11.76,23.79,47.69,101.6,198.71,200.91,202.01,202.55,202.83,202.98,203.05,203.09,203.1,195.43,169.86,169.79
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,1,peak,0.089552,0.19,0.37,0.74,1.48,2.95,5.88,11.82,23.88,48.0,102.12,198.73,201.17,202.13,202.55,202.86,202.99,203.05,203.09,203.1,195.43,169.9,169.79
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.084687,0.18,0.35,0.7,1.41,2.8,5.59,11.18,22.24,46.26,96.24,189.39,196.25,196.94,197.26,197.07,197.25,197.27,197.34,197.31,185.53,163.19,163.24
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,1,peak,0.084906,0.18,0.35,0.7,1.41,2.8,5.61,11.24,22.26,46.31,97.27,190.51,196.35,197.0,197.27,197.1,197.27,197.27,197.34,197.32,185.53,163.19,163.24
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,0,avg,0.056886,0.12,0.23,0.47,0.93,1.87,3.74,7.47,14.97,29.8,58.78,117.79,200.15,204.87,207.15,208.32,208.91,208.68,209.09,209.54,195.05,170.99,170.96
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,0,peak,0.058065,0.12,0.23,0.47,0.94,1.88,3.75,7.5,15.03,29.87,58.98,118.53,200.35,204.94,207.17,208.34,208.92,208.69,209.09,209.54,195.11,170.99,170.96
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.077312,0.16,0.32,0.64,1.28,2.56,5.11,10.22,20.44,40.15,81.47,164.39,196.21,196.74,197.04,197.21,197.28,197.32,197.35,197.34,193.54,163.15,163.17
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,3,peak,0.077922,0.16,0.32,0.64,1.28,2.57,5.12,10.24,20.53,40.33,81.74,164.94,196.35,196.87,197.07,197.23,197.28,197.33,197.35,197.34,193.57,163.17,163.2
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,0,avg,0.056816,0.12,0.23,0.46,0.93,1.86,3.71,7.41,14.8,29.31,57.54,26.59,67.49,114.42,208.8,209.4,205.76,208.12,208.78,209.38,197.27,171.16,171.23
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,0,peak,0.057136,0.12,0.23,0.46,0.93,1.86,3.72,7.46,14.84,29.54,59.46,119.49,205.64,206.09,208.86,209.42,207.28,208.12,208.78,209.38,197.27,171.16,171.23
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,0,avg,0.057043,0.12,0.23,0.47,0.93,1.86,3.72,7.42,14.7,29.69,59.44,119.79,202.09,207.7,209.15,209.37,209.54,209.55,209.61,209.64,197.08,171.25,171.25
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,0,peak,0.057225,0.12,0.23,0.47,0.93,1.87,3.73,7.47,14.77,29.87,59.55,119.88,205.08,207.83,209.16,209.38,209.55,209.56,209.61,209.64,197.39,171.27,171.25
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,0,avg,0.055558,0.11,0.23,0.46,0.91,1.82,3.6,7.29,14.59,29.12,56.21,117.02,116.99,207.91,198.06,203.83,209.43,208.15,209.09,209.62,197.82,171.24,171.21
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,0,peak,0.056075,0.11,0.23,0.46,0.91,1.83,3.63,7.31,14.61,29.21,58.33,117.21,205.08,207.98,207.53,207.57,209.44,208.15,209.09,209.62,197.82,171.28,171.21
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.081742,0.17,0.33,0.67,1.33,2.67,5.31,10.62,21.25,42.19,84.56,168.48,195.66,196.82,197.27,197.07,197.25,197.29,197.37,197.33,185.09,163.18,163.21
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,0,peak,0.082192,0.17,0.33,0.67,1.34,2.67,5.32,10.64,21.28,42.37,84.94,169.1,195.82,196.87,197.33,197.1,197.25,197.29,197.38,197.33,185.09,163.18,163.21
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,2,avg,0.078605,0.16,0.33,0.65,1.31,2.61,5.21,10.43,20.85,28.19,59.91,120.31,52.91,187.2,197.33,197.85,197.9,198.0,198.05,198.06,188.71,163.62,163.6
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,2,peak,0.07947,0.16,0.33,0.65,1.31,2.62,5.22,10.45,20.9,28.36,60.04,120.67,193.77,195.95,197.4,197.86,197.91,198.01,198.05,198.06,188.71,163.63,163.6
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.080155,0.16,0.33,0.66,1.31,2.63,5.25,10.48,20.94,41.95,83.36,166.35,201.49,202.65,202.94,203.02,203.1,203.16,203.15,203.16,189.44,169.86,169.81
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,2,peak,0.080717,0.17,0.33,0.66,1.32,2.64,5.27,10.52,21.04,42.08,83.59,167.18,201.72,202.69,202.97,203.04,203.11,203.16,203.15,203.16,189.46,169.86,169.81
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,3,avg,0.081795,0.17,0.34,0.67,1.34,2.68,5.34,10.69,21.42,42.67,84.89,169.05,195.7,197.02,197.26,197.32,197.27,197.29,197.32,197.33,185.35,163.21,163.21
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,3,peak,0.082005,0.17,0.34,0.67,1.35,2.7,5.37,10.74,21.48,42.77,85.14,169.49,196.09,197.13,197.27,197.33,197.28,197.3,197.32,197.33,185.35,163.21,163.21
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,3,avg,0.073552,0.16,0.33,0.65,1.31,2.61,5.21,10.39,20.75,41.63,82.82,165.75,193.26,196.55,203.1,206.22,208.44,208.89,209.37,209.49,193.75,170.94,170.91
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,3,peak,0.07611,0.16,0.33,0.66,1.32,2.63,5.22,10.45,20.85,41.89,83.4,166.43,194.28,196.61,203.11,206.23,208.44,208.89,209.38,209.49,194.14,170.94,170.91
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,1,avg,0.060358,0.12,0.25,0.49,0.99,1.97,3.95,7.91,15.86,31.7,65.36,137.25,110.52,201.31,202.24,202.72,202.96,203.09,203.14,203.18,194.32,169.87,169.86
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,1,peak,0.061017,0.12,0.25,0.5,0.99,1.98,3.96,7.94,15.92,32.0,65.48,137.55,198.46,201.44,202.27,202.72,202.98,203.09,203.15,203.18,194.32,169.87,169.86
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,2,avg,0.056827,0.12,0.23,0.47,0.93,1.86,3.71,7.41,14.66,29.73,57.2,118.01,64.12,196.48,197.33,197.72,195.47,196.41,197.46,198.06,189.03,163.45,163.61
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,2,peak,0.057508,0.12,0.23,0.47,0.93,1.86,3.72,7.42,14.82,29.83,59.55,118.15,193.51,196.61,197.33,197.73,196.38,196.46,197.46,198.06,189.03,163.45,163.61
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.081731,0.17,0.33,0.67,1.33,2.67,5.28,10.64,21.25,42.52,82.88,167.86,207.89,208.99,209.46,209.29,209.5,209.55,209.6,209.61,192.53,171.23,171.24
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,3,peak,0.082005,0.17,0.34,0.67,1.34,2.68,5.31,10.69,21.33,42.67,83.78,168.33,207.97,209.01,209.53,209.31,209.51,209.56,209.6,209.61,192.55,171.23,171.24
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.081733,0.17,0.34,0.67,1.35,2.7,5.38,10.78,21.23,43.08,85.96,172.04,197.01,197.56,197.81,197.97,198.05,198.08,198.09,198.1,187.85,163.76,163.74
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,2,peak,0.08238,0.17,0.34,0.67,1.35,2.7,5.4,10.82,21.48,43.17,86.13,172.67,197.13,197.66,197.86,197.99,198.06,198.09,198.1,198.1,187.85,163.78,163.75
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,0,avg,0.078461,0.16,0.32,0.64,1.27,2.53,5.09,10.11,20.2,40.4,80.79,160.54,120.42,137.66,159.23,177.32,196.79,191.77,194.61,195.9,185.34,163.13,163.06
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,0,peak,0.078768,0.16,0.32,0.64,1.28,2.55,5.1,10.15,20.3,40.51,81.02,160.63,155.87,187.25,188.8,190.75,196.8,191.77,194.61,195.9,185.58,163.13,163.06
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.086169,0.18,0.36,0.71,1.42,2.85,5.69,11.35,23.04,45.93,97.83,198.66,200.91,201.99,202.53,202.84,202.97,203.04,203.08,203.11,195.29,169.87,169.85
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,1,peak,0.086747,0.18,0.36,0.72,1.43,2.86,5.7,11.38,23.1,46.2,98.04,198.73,201.17,201.99,202.54,202.86,202.99,203.05,203.08,203.11,195.29,169.88,169.85
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,3,avg,0.055083,0.11,0.23,0.45,0.9,1.8,3.6,7.19,14.25,28.8,57.5,115.56,77.07,196.62,195.87,196.9,197.24,197.21,196.89,196.85,186.65,162.8,162.78
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,3,peak,0.055556,0.11,0.23,0.45,0.91,1.8,3.62,7.23,14.33,28.89,57.69,116.11,193.01,196.74,195.89,196.9,197.25,197.22,196.89,196.85,186.65,162.8,162.78
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.080885,0.17,0.34,0.67,1.34,2.68,5.36,10.73,21.06,42.7,85.05,171.56,208.22,208.82,209.2,209.41,209.49,209.54,209.57,209.58,206.64,170.97,170.95
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,0,peak,0.08181,0.17,0.34,0.67,1.35,2.69,5.37,10.77,21.19,42.87,85.33,171.86,208.27,208.86,209.23,209.42,209.49,209.55,209.58,209.58,206.64,170.99,170.97
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.081533,0.17,0.34,0.67,1.34,2.69,5.36,10.74,21.48,42.17,85.61,172.31,208.12,208.8,209.18,209.38,209.46,209.52,209.54,209.56,198.34,170.96,170.97
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,0,peak,0.082005,0.17,0.34,0.67,1.35,2.7,5.38,10.77,21.53,42.37,85.73,172.67,208.27,208.86,209.23,209.38,209.47,209.52,209.54,209.56,198.34,170.96,171.01
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.081867,0.17,0.33,0.67,1.33,2.67,5.31,10.65,21.23,43.4,87.58,186.4,196.77,197.76,197.9,197.78,197.95,198.03,198.09,198.09,184.6,163.63,163.62
