prot,role,srvip,mtu,len,ws,br,par,affin,srvnode,cltnode,t,Bandwidth
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u15,1,227.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u15,1,226.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u15,1,227.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u15,2,209.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u15,2,227.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u15,2,227.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u15,2,209.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u16,0,226.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u16,0,214.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u16,0,227.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u16,0,214.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u16,1,225.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u16,1,226.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u16,1,225.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u16,1,226.0
