path,server,client,protocol,role,srvip,mtu,bufsize,winsize,bitrate,par,affin,bw,units,trial
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.157_1500_128K_128K_0_64_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_1.log,1,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,128K,128K,0,64,eno7np0,206,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.157_1500_128K_128K_0_64_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_2.log,2,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,128K,128K,0,64,eno7np0,202,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_0_0_64_eno6np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_0.log,0,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,0,0,64,eno6np0,133,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_0_0_64_eno6np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_1.log,1,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,0,0,64,eno6np0,143,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_0_0_64_eno6np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_2.log,2,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,0,0,64,eno6np0,139,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_0_0_64_eno7np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_0.log,0,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,0,0,64,eno7np0,195,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_0_0_64_eno7np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_1.log,1,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,0,0,64,eno7np0,196,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_0_0_64_eno7np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_2.log,2,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,0,0,64,eno7np0,194,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_128K_0_64_eno6np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_0.log,0,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,128K,0,64,eno6np0,122,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_128K_0_64_eno6np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_1.log,1,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,128K,0,64,eno6np0,123,Gbits/sec
2node-jumbomtu-eno7np0-winsize-01-05-25-1746100557/iperf_tcp_clt_192.168.50.18_1500_128K_128K_0_64_eno6np0_mocr4pcc02u25-debug-fvmkj_mocr4pcc02u24-debug-sdqkd_2.log,2,mocr4pcc02u25-debug-fvmkj,mocr4pcc02u24-debug-sdqkd,tcp,clt,192.168.50.18,1500,128K,128K,0,64,eno6np0,99.5,Gbits/sec
