test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.075827,0.16,0.31,0.62,1.35,2.69,5.47,10.91,21.76,43.42,86.46,170.41,206.08,207.75,208.49,208.95,209.01,209.04,209.03,208.88,209.08,192.27,171.27
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.060924,0.12,0.25,0.49,0.98,1.94,3.93,7.91,15.82,31.52,61.99,125.5,198.35,201.13,202.21,202.67,202.74,202.83,202.86,202.86,202.85,189.14,170.1
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.089664,0.18,0.37,0.73,1.46,2.87,5.88,11.59,23.56,47.51,96.85,192.98,200.03,201.85,202.54,202.74,202.77,202.83,202.85,202.87,202.85,188.91,170.12
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.084663,0.17,0.35,0.69,1.37,2.68,5.51,11.02,22.06,43.72,86.71,173.03,199.85,201.84,202.03,202.76,202.76,202.84,202.87,202.85,202.86,188.67,170.08
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.087431,0.18,0.36,0.71,1.43,2.81,5.68,11.41,22.72,45.36,90.39,180.41,200.05,201.72,202.39,202.74,202.76,202.81,202.86,202.88,202.88,189.23,170.03
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.087743,0.18,0.36,0.72,1.44,2.81,5.79,11.43,22.92,45.89,89.74,178.86,195.09,196.65,197.32,197.68,197.64,197.72,197.73,197.7,197.72,185.12,163.66
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.088678,0.19,0.38,0.75,1.51,2.92,6.0,11.98,23.88,48.31,99.55,190.62,194.97,196.77,197.46,197.58,197.69,197.7,197.74,197.7,197.7,184.62,163.6
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.086798,0.17,0.36,0.64,1.3,2.59,5.18,10.26,22.95,45.63,89.33,178.19,194.81,196.73,197.48,197.63,197.65,197.7,197.72,197.72,197.67,184.46,163.61
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.086692,0.18,0.35,0.71,1.41,2.79,5.66,11.25,22.56,44.82,88.68,175.02,195.09,196.55,197.38,197.53,197.52,197.71,197.73,197.7,197.76,184.65,163.63
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.088006,0.18,0.36,0.72,1.45,2.83,5.79,11.57,22.89,45.8,90.15,177.79,194.34,196.12,196.96,197.08,197.31,197.35,197.38,197.32,197.33,183.75,163.37
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.087378,0.18,0.36,0.71,1.44,2.78,5.69,11.32,22.83,46.11,93.26,188.97,194.79,196.4,197.06,197.21,197.24,197.35,197.37,197.3,197.35,182.97,163.35
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.079125,0.16,0.32,0.64,1.43,2.79,5.68,11.39,22.59,45.14,88.89,178.12,194.67,196.32,197.07,197.16,197.28,197.37,197.35,197.32,197.32,183.31,163.36
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.084402,0.18,0.37,0.74,1.48,2.94,5.85,11.75,23.54,46.61,92.07,175.35,195.18,193.55,196.95,197.26,197.27,197.33,197.35,197.34,197.27,183.52,163.36
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.088781,0.18,0.36,0.71,1.46,2.86,5.79,11.6,23.19,46.36,91.55,184.95,207.54,208.45,208.81,208.94,208.95,209.04,209.08,209.04,191.05,171.16,171.17
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.088301,0.18,0.36,0.72,1.44,2.83,5.78,11.47,23.13,46.65,95.91,200.32,207.74,208.57,208.88,208.95,209.0,209.03,209.06,208.64,190.93,171.11,171.12
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.087826,0.18,0.36,0.72,1.45,2.83,5.77,11.54,20.86,41.55,83.12,166.46,207.25,208.37,208.9,208.94,208.99,208.7,209.03,209.09,190.99,171.08,171.14
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.084147,0.17,0.35,0.69,1.39,2.72,5.54,11.09,22.08,44.12,87.88,174.74,207.43,208.38,208.89,208.95,208.97,209.03,209.06,209.08,191.58,171.03,171.12
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.084338,0.17,0.35,0.69,1.38,2.7,5.52,11.01,22.12,44.08,88.0,175.38,201.51,202.29,202.68,202.81,202.81,202.85,202.9,202.93,187.92,170.03,170.18
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.062299,0.13,0.26,0.51,1.02,2.02,4.12,8.21,16.43,33.2,67.31,140.61,201.01,202.16,202.52,202.83,202.81,202.83,202.87,202.91,187.78,170.1,170.28
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.06171,0.13,0.25,0.5,1.0,1.96,4.04,8.08,16.1,32.04,64.4,128.77,200.89,202.18,202.69,202.82,202.8,202.82,202.9,202.9,188.15,170.04,170.04
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.079987,0.16,0.33,0.66,1.45,2.85,5.79,11.57,23.04,46.2,91.87,183.92,201.45,202.41,202.73,202.81,202.82,202.87,202.85,202.92,188.21,170.02,170.15
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.087874,0.18,0.36,0.72,1.45,2.9,5.6,11.49,22.95,45.92,89.97,181.53,196.8,197.52,197.87,197.86,197.63,197.65,197.64,197.68,182.41,163.72,163.73
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.090917,0.19,0.37,0.75,1.5,2.94,5.97,11.8,23.69,47.98,99.84,194.0,196.56,197.15,197.89,197.88,197.96,197.56,197.67,197.67,181.99,163.76,163.7
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.087387,0.18,0.36,0.72,1.43,2.82,5.74,11.48,22.69,42.61,90.75,182.59,196.14,197.25,197.53,197.56,197.6,197.64,197.65,197.67,182.29,163.75,163.73
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.08941,0.18,0.37,0.73,1.47,2.88,5.86,11.74,21.08,42.36,83.65,168.23,196.3,197.16,197.43,197.53,197.29,197.6,197.67,197.7,182.31,163.74,163.74
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.084288,0.17,0.35,0.7,1.39,2.75,5.57,11.14,22.33,44.68,85.42,177.28,196.01,197.15,197.49,197.54,197.6,197.3,197.29,197.3,181.54,163.45,163.5
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.089052,0.18,0.37,0.73,1.47,2.92,5.75,11.61,23.28,47.21,96.78,193.64,196.54,197.24,197.13,197.19,197.29,197.28,197.31,197.29,182.12,163.47,163.51
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.085652,0.18,0.35,0.72,1.46,2.93,5.82,11.61,23.36,46.36,92.1,183.47,195.89,196.81,197.18,197.15,197.21,197.28,197.29,197.2,182.31,163.49,163.45
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.059882,0.12,0.24,0.49,0.98,1.93,3.89,7.8,15.59,30.97,62.26,124.33,195.54,196.66,197.11,197.12,197.23,197.28,197.28,197.33,182.48,163.46,163.48
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.061801,0.13,0.25,0.5,1.02,1.99,4.06,8.06,16.18,32.21,64.63,129.38,207.92,208.69,208.88,208.68,208.86,208.96,208.95,185.56,170.97,170.9,170.92
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.087215,0.18,0.36,0.73,1.45,2.83,5.76,11.52,23.19,46.73,97.1,203.11,207.92,208.75,208.86,208.85,208.92,208.96,208.94,185.35,171.01,170.9,170.94
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.085898,0.18,0.36,0.7,1.41,2.77,5.65,11.32,22.6,45.24,89.84,180.66,208.3,208.77,208.93,208.81,209.38,209.44,209.03,185.83,170.97,170.91,170.88
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.088234,0.18,0.37,0.73,1.46,2.87,5.7,11.68,23.42,46.14,92.88,183.07,208.29,208.65,208.95,208.84,208.92,208.94,208.94,185.28,170.95,170.91,170.9
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.084303,0.18,0.35,0.7,1.27,2.5,5.09,10.16,21.89,44.77,88.67,179.01,202.16,202.54,202.59,202.59,202.7,202.67,202.71,183.19,170.0,169.94,169.97
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.08732,0.18,0.36,0.71,1.45,2.85,5.8,11.56,21.48,44.23,95.19,199.65,202.21,202.47,202.6,202.57,202.68,202.72,202.74,183.11,169.99,169.96,169.94
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.083975,0.17,0.35,0.7,1.39,2.73,5.55,11.11,22.25,44.35,88.17,176.38,202.1,202.51,202.54,202.64,202.56,202.72,202.7,183.19,170.01,169.93,169.96
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.089354,0.19,0.37,0.74,1.48,2.9,5.91,11.87,23.59,46.31,93.94,185.43,202.13,202.47,202.53,202.59,202.68,202.74,202.77,183.15,170.03,169.97,169.97
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.059574,0.12,0.24,0.49,0.97,1.92,3.88,7.78,15.55,31.1,62.11,124.93,196.75,197.28,197.47,197.45,197.55,197.62,197.74,177.23,163.45,163.4,163.42
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.090657,0.19,0.37,0.74,1.5,2.95,5.88,11.82,23.93,48.42,100.52,194.8,197.17,197.4,197.5,197.43,197.54,197.62,197.67,177.27,163.47,163.38,163.39
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.084439,0.17,0.35,0.74,1.49,2.91,5.94,11.85,23.75,47.27,94.29,189.09,197.06,197.32,197.51,197.49,197.58,197.59,197.65,177.37,163.5,163.46,163.44
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.085364,0.18,0.35,0.71,1.42,2.78,5.65,11.33,22.13,44.98,89.76,179.7,196.87,197.75,197.83,197.84,197.42,197.6,197.63,177.49,163.45,163.41,163.42
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.086592,0.18,0.36,0.72,1.46,2.86,5.81,11.57,23.24,46.14,92.14,183.96,196.64,197.1,197.05,197.04,197.23,197.27,197.32,176.91,163.22,163.18,163.16
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.087947,0.18,0.37,0.74,1.48,2.87,5.9,11.78,23.58,47.88,99.45,194.81,196.74,196.98,197.19,197.16,197.23,197.38,197.56,176.76,163.29,163.19,163.18
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.08701,0.18,0.36,0.72,1.44,2.83,5.74,11.44,22.97,44.98,91.32,182.29,196.69,197.1,197.22,197.15,197.24,197.31,197.34,176.94,163.27,163.2,163.19
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.06084,0.13,0.23,0.47,0.94,1.84,4.02,8.03,16.08,32.15,63.96,128.94,196.35,197.04,197.18,197.04,197.18,197.2,197.24,176.79,163.24,163.16,163.16
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,0,peak,0.056338,0.11,0.23,0.45,0.9,1.79,3.55,6.95,13.53,25.35,43.94,71.86,88.88,89.47,89.72,89.7,89.75,89.78,89.8,89.68,89.66,89.65,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,1,peak,0.056162,0.11,0.23,0.45,0.9,1.79,3.59,6.96,13.57,25.35,43.99,71.93,88.94,89.5,89.72,89.67,89.76,89.48,89.57,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,2,peak,0.056782,0.11,0.23,0.46,0.92,1.83,3.58,6.92,13.57,25.63,43.78,71.79,88.93,89.47,89.73,89.69,89.58,89.72,89.54,89.68,89.65,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,3,peak,0.056689,0.11,0.23,0.46,0.91,1.81,3.59,6.93,13.61,25.42,43.94,71.79,88.93,89.45,89.73,89.7,89.76,89.67,89.8,89.68,89.65,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,0,peak,0.0605,0.12,0.24,0.48,0.97,1.89,3.76,7.28,14.07,26.64,45.45,73.88,88.94,89.5,89.73,89.65,89.76,89.67,89.55,89.68,89.66,89.66,89.66
