test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.032095,0.065344,0.24,0.49,0.98,1.96,3.92,7.79,12.77,31.26,58.04,85.13,102.48,117.26,120.45,128.81,131.7,132.28,119.32,131.89,128.08,125.3,124.89
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.054246,0.12,0.23,0.47,0.92,1.86,3.79,7.56,15.25,16.18,35.56,65.38,93.96,102.44,106.48,109.71,110.82,111.5,111.94,111.77,111.22,109.83,109.88
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.056683,0.12,0.23,0.47,0.94,1.85,3.75,7.46,14.99,29.85,27.32,52.39,60.78,64.15,67.15,68.15,65.24,69.05,68.88,68.97,69.27,69.25,69.21
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.033024,0.067753,0.13,0.48,0.96,1.92,3.82,7.64,8.41,17.42,35.17,57.24,62.29,69.29,71.52,71.84,73.68,74.07,74.09,74.21,74.16,74.52,74.34
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.032514,0.067663,0.14,0.27,0.54,1.08,2.16,4.27,8.56,17.15,34.6,69.63,96.42,105.73,123.9,116.33,120.35,118.93,128.51,132.0,130.39,122.08,125.49
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.03303,0.067613,0.13,0.27,0.54,1.08,2.15,4.3,8.55,16.98,37.18,68.51,108.67,102.2,106.37,112.36,110.82,111.43,111.84,112.1,111.54,110.0,110.11
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.053317,0.12,0.23,0.46,0.93,1.86,3.72,7.33,14.84,15.84,34.89,55.6,65.26,69.56,72.38,73.22,73.99,73.93,74.31,74.59,74.47,74.48,74.52
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.059797,0.12,0.25,0.49,0.99,1.96,3.93,7.81,15.69,29.51,27.82,53.56,58.94,64.41,67.07,68.25,68.78,69.18,69.21,69.02,69.4,68.9,69.21
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.033433,0.068765,0.14,0.32,0.62,1.26,2.41,4.31,8.63,17.32,34.51,69.96,139.72,163.96,167.11,167.99,168.49,167.8,155.62,147.92,147.98,147.95,147.99
ib_read_bw,9000,32,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.03232,0.066132,0.13,0.27,0.53,1.06,2.12,4.23,8.53,17.04,34.25,67.02,110.89,110.72,110.12,111.23,111.2,111.38,111.4,109.85,108.73,108.51,108.43
